Date,Cloudy test,Top1,Top2,Top3,Top4,Top5,RMSE,CRMSE,BIAS,Rs,pval
2014-08-06 12:00:00,2,2015-07-27 12:00:00,2017-08-15 12:00:00,2016-09-09 12:00:00,2017-08-14 12:00:00,2014-09-04 12:00:00,76.3900432996852,59.4910534684662,-47.9192369778555,0.998946998946999,3.18E-63
2014-08-07 12:00:00,1,2015-09-03 12:00:00,2014-09-05 12:00:00,2017-09-15 12:00:00,2016-08-10 12:00:00,2016-09-05 12:00:00,43.4220356179355,35.8350703173359,-24.5218456188936,0.999268728306513,7.28E-67
2014-08-08 12:00:00,2,2014-08-09 12:00:00,2017-08-24 12:00:00,2017-08-15 12:00:00,2015-07-04 12:00:00,2016-09-08 12:00:00,111.397461151161,102.995941269568,-42.4409051849758,0.997776997776998,9.15E-56
2014-08-09 12:00:00,2,2014-07-11 12:00:00,2017-07-28 12:00:00,2014-08-13 12:00:00,2014-08-08 12:00:00,2015-08-02 12:00:00,67.2894348038547,60.6570156915049,-29.1306450945177,0.992599526560307,8.93E-44
2014-08-10 12:00:00,2,2014-05-08 12:00:00,2016-08-11 12:00:00,2016-08-09 12:00:00,2016-08-08 12:00:00,2016-08-07 12:00:00,62.1148049250866,54.8434734674674,-29.1623457373506,0.996957996957997,1.23E-52
2014-08-11 12:00:00,2,2017-08-11 12:00:00,2016-08-14 12:00:00,2017-08-22 12:00:00,2014-07-08 12:00:00,2017-08-08 12:00:00,56.3843606324338,52.3594930728136,20.9207937011563,0.998244998244998,4.00E-58
2014-08-12 12:00:00,2,2014-07-14 12:00:00,2016-08-24 12:00:00,2014-08-11 12:00:00,2017-07-13 12:00:00,2017-07-11 12:00:00,59.7480070442851,53.6920011230045,-26.2105582002982,0.999141173773052,2.94E-65
2014-08-13 12:00:00,2,2014-07-11 12:00:00,2014-08-09 12:00:00,2017-08-23 12:00:00,2017-07-26 12:00:00,2016-09-08 12:00:00,82.5512973254974,79.1256313380655,-23.5340424805263,0.997275527126273,9.79E-54
2014-08-14 12:00:00,2,2017-07-14 12:00:00,2015-08-23 12:00:00,2017-07-27 12:00:00,2017-08-09 12:00:00,2015-07-17 12:00:00,35.4548348187397,31.2533154470044,-16.7414332001221,0.999170812603648,1.31E-65
2014-08-15 12:00:00,2,2017-07-11 12:00:00,2015-09-23 12:00:00,2017-09-05 12:00:00,2017-07-23 12:00:00,2017-09-07 12:00:00,23.7029482774868,18.9354429803132,-14.2575859171365,0.99940772328832,5.72E-69
2014-08-16 12:00:00,0,2014-09-14 12:00:00,2014-09-25 12:00:00,2015-08-15 12:00:00,2014-09-11 12:00:00,2015-08-27 12:00:00,6.08410489870816,4.96464808019064,-3.51690231003704,1,0
2014-08-17 12:00:00,0,2014-09-12 12:00:00,2014-09-25 12:00:00,2014-09-10 12:00:00,2015-08-15 12:00:00,2014-09-14 12:00:00,5.64653448281392,4.672457546414,-3.17040882893133,1,0
2014-08-18 12:00:00,2,2014-08-02 12:00:00,2016-07-25 12:00:00,2017-07-15 12:00:00,2015-06-27 12:00:00,2015-08-06 12:00:00,185.35277632026,151.810660512839,-106.34460514894,0.994195688225539,3.40E-46
2014-08-19 12:00:00,2,2014-07-25 12:00:00,2014-08-20 12:00:00,2015-08-25 12:00:00,2017-07-15 12:00:00,2014-05-18 12:00:00,113.174669517618,102.479798709699,-48.0249588947413,0.99736429101692,4.58E-54
2014-08-20 12:00:00,2,2014-08-21 12:00:00,2014-08-19 12:00:00,2014-05-24 12:00:00,2014-08-18 12:00:00,2015-08-25 12:00:00,85.3246747401829,81.8040544276069,-24.2568917778666,0.986496090973703,8.52E-38
2014-08-21 12:00:00,2,2017-07-25 12:00:00,2017-09-06 12:00:00,2014-08-20 12:00:00,2014-07-27 12:00:00,2014-08-25 12:00:00,70.7304670013322,62.3658447139139,-33.366156136818,0.994698966882721,4.25E-47
